"statelabel","statecode"
"Virgin Islands",0
"Maine",23
"Texas",48
"District of Columbia",11
"Nebraska",31
"Oklahoma",40
"Wisconsin",55
"Oregon",41
"Michigan",26
"North Carolina",37
"Georgia",13
"Florida",12
"Virginia",51
"Idaho",16
"Kansas",20
"Alaska",2
"New York",36
"Washington",53
"Montana",30
"Louisiana",22
"Minnesota",27
"Pennsylvania",42
"Maryland",24
"Ohio",39
"Northern Mariana Islands",69
"California",6
"Connecticut",9
"Not Specified",0
"Wyoming",56
"Vermont",50
"North Dakota",38
"Arkansas",5
"Puerto Rico",72
"Nevada",32
"Iowa",19
"Mississippi",28
"Alabama",1
"Arizona",4
"West Virginia",54
"New Jersey",34
"New Mexico",35
"Kentucky",21
"South Carolina",45
"Colorado",8
"Utah",49
"Delaware",10
"Massachusetts",25
"American Samoa",60
"Tennessee",47
"Indiana",18
"Illinois",17
"Rhode Island",44
"Guam",66
"New Hampshire",33
"Missouri",29
"South Dakota",46
"Hawaii",15
